"Ticker","Nome","Negócios","Última (R$)","Variação"
"UNIP3","Unipar","6.000","50,74","-0,37%"
"HOOT4","Hotéis Othon","5.800","2,79","+0,72%"
"CLSC4","Celesc","4.700","72,65","-1,29%"
"ALUP4","Alupar","4.700","9,83","+0,41%"
"ENGI3","Energisa","4.300","15,24","+2,63%"
"MNPR3","Minupar","4.300","12,00","-4,76%"
"PTNT4","Pettenati","4.300","7,05","-0,70%"
"BSLI3","Banco de Brasília","3.900","10,00","-2,44%"
"CRPG5","Tronox Pigmentos","3.800","30,01","+0,64%"
"RSUL4","Metalúrgica Riosulense","3.600","68,99","-4,09%"
"CEBR5","CEB","3.600","20,18","-0,59%"
"BEES4","Banestes","3.600","9,70","+0,31%"
"CGRA3","Grazziotin","3.400","24,50","-0,45%"
"RDNI3","RNI","3.400","3,38","-0,88%"
"OFSA3","Ourofino Saúde Animal","3.300","21,30","+0,95%"
"ALUP3","Alupar","3.300","9,90","-0,60%"
"OSXB3","OSX Brasil","3.300","3,92","-1,01%"
"ATOM3","ATOM","3.200","2,10","-2,33%"
"SCAR3","São Carlos","3.000","24,33","+1,29%"
"EPAR3","Embpar Participações","3.000","6,62","-1,63%"
"DOHL4","Döhler","2.900","4,36","-0,91%"
"NEXP3","Brasil Brokers","2.900","4,21","+0,24%"
"MWET4","Wetzel","2.700","8,20","-0,36%"
"BMEB4","Banco Mercantil do Brasil","2.500","26,90","+0,79%"
"CEBR6","CEB","2.500","20,89","-0,29%"
"FHER3","Fertilizantes Heringer","2.300","4,66","+0,87%"
"CGAS5","Comgás","2.200","118,90","+4,31%"
"BPAC3","Banco BTG Pactual","2.000","16,25","+0,62%"
"ALPA3","Alpargatas","1.900","10,15","-0,78%"
"BAZA3","Banco da Amazônia","1.800","97,61","+0,63%"
"MTSA4","Metisa","1.700","43,52","-0,78%"
"CTSA3","Santanense","1.500","2,45","-2,39%"
"BMEB3","Banco Mercantil do Brasil","1.400","24,50","+0,00%"
"BSLI4","Banco de Brasília","1.300","10,01","-13,63%"
"TELB3","Telebras","1.200","13,60","+2,95%"
"PLAS3","Plascar","1.200","5,50","+5,57%"
"UNIP5","Unipar","1.100","55,95","+1,60%"
"EMAE4","EMAE","1.100","49,95","+0,91%"
"CGRA4","Grazziotin","1.100","25,42","-0,94%"
